zone_id,n_samples,n_train,n_val,n_test,l1_accuracy,l1_recall,l1_f1,l2_accuracy,l2_recall,l2_f1,accuracy,f1_macro,f1_micro,f1_weighted,recall_NO_INJURY,recall_MINOR,recall_SEVERE,skipped,skip_reason
0,157279,100658,25165,31456,0.8388860630722279,0.7119113573407202,0.5273269912329789,0.6889952153110048,0.6760869565217391,0.3349488422186322,0.8021363173957273,0.48344121346402424,0.8021363173957273,0.8317966760438289,0.855674595968767,0.4042184339786189,0.591304347826087,False,
1,109943,70363,17591,21989,0.7857565146209469,0.6856702619414484,0.5312904188637947,0.7051874678993323,0.6514161220043573,0.3424971363115693,0.7402337532402565,0.4816130870384747,0.7402337532402565,0.7718131672362928,0.8049815396484268,0.4153118533845699,0.5751633986928104,False,
2,62124,39759,9940,12425,0.8321931589537224,0.6875901875901876,0.47757454272112254,0.6746031746031746,0.66875,0.3218045112781955,0.8005633802816902,0.46450043403911295,0.8005633802816902,0.8335744116001232,0.8481973434535104,0.39398998330550916,0.55,False,
3,28935,18518,4630,5787,0.7843442198030067,0.7255297679112008,0.5353685778108712,0.7063572149344097,0.6230769230769231,0.3576158940397351,0.7402799377916018,0.4858741092180938,0.7402799377916018,0.7745665887777199,0.7936837731144816,0.47511848341232227,0.4846153846153846,False,
4,40632,26004,6501,8127,0.7790082441245232,0.6976389946686976,0.5049614112458655,0.6610814927646611,0.7818181818181819,0.3669985775248933,0.7316352897748246,0.46106597033244046,0.7316352897748246,0.7714553282712706,0.7921299005266238,0.38188277087033745,0.6121212121212121,False,
5,20406,13059,3265,4082,0.7827045565899069,0.6539007092198581,0.5096738529574351,0.48652482269503544,0.8048780487804879,0.26720647773279355,0.7128858402743753,0.41101821074822903,0.7128858402743753,0.751988444876356,0.80435422182995,0.2096505823627288,0.6097560975609756,False,
6,9738,6232,1558,1948,0.7412731006160165,0.6853582554517134,0.4661016949152542,0.6728971962616822,0.7435897435897436,0.3558282208588957,0.6955852156057495,0.4377583966062117,0.6955852156057495,0.7439577991054164,0.7477092241905925,0.40441176470588236,0.5384615384615384,False,
7,70672,45229,11308,14135,0.8041032897064025,0.7079276773296245,0.5244719216898506,0.6490496059341678,0.7172131147540983,0.31616982836495033,0.756420233463035,0.4667808803328131,0.756420233463035,0.7918121076213757,0.8190975690975691,0.37200638637573175,0.6311475409836066,False,
8,56039,35864,8967,11208,0.7913097787294789,0.7122608079376329,0.462175212692573,0.6520198440822113,0.7375,0.3246217331499312,0.7541042112776588,0.44832454115840775,0.7541042112776588,0.7987640808771135,0.800977795885109,0.3983739837398374,0.6125,False,
9,13352,8544,2137,2671,0.7150879820292025,0.7289719626168224,0.3807973962571196,0.5264797507788161,0.8157894736842105,0.2897196261682243,0.6716585548483714,0.39022303844467016,0.6716585548483714,0.7445391926618738,0.7122821929451764,0.325,0.7105263157894737,False,
